Player name,Age,club,market value,League,position
Jude Bellingham,20,Real Madrid,120.0,LaLiga,Attacking Midfield
Declan Rice,24,Arsenal FC,90.0,Premier League,Defensive Midfield
Moisés Caicedo,21,Chelsea FC,75.0,Premier League,Defensive Midfield
Harry Kane,30,Bayern Munich,90.0,Bundesliga,Centre-Forward
Randal Kolo Muani,24,Paris Saint-Germain,80.0,Ligue 1,Centre-Forward
Josko Gvardiol,21,Manchester City,75.0,Premier League,Centre-Back
Neymar,31,Al-Hilal SFC,60.0,Saudi Pro League,Left Winger
Christopher Nkunku,25,Chelsea FC,80.0,Premier League,Attacking Midfield
Kai Havertz,24,Arsenal FC,55.0,Premier League,Attacking Midfield
Rasmus Højlund,20,Manchester United,45.0,Premier League,Centre-Forward
Dominik Szoboszlai,22,Liverpool FC,50.0,Premier League,Central Midfield
Alexis Mac Allister,24,Liverpool FC,65.0,Premier League,Central Midfield
Mason Mount,24,Manchester United,60.0,Premier League,Attacking Midfield
Sandro Tonali,23,Newcastle United,50.0,Premier League,Defensive Midfield
Roméo Lavia,19,Chelsea FC,32.0,Premier League,Defensive Midfield
Matheus Nunes,25,Manchester City,45.0,Premier League,Central Midfield
Jérémy Doku,21,Manchester City,28.0,Premier League,Left Winger
Manuel Ugarte,22,Paris Saint-Germain,50.0,Ligue 1,Defensive Midfield
Malcom,26,Al-Hilal SFC,30.0,Saudi Pro League,Right Winger
Otávio,28,Al-Nassr FC,35.0,Saudi Pro League,Attacking Midfield
Min-jae Kim,26,Bayern Munich,60.0,Bundesliga,Centre-Back
Ousmane Dembélé,26,Paris Saint-Germain,60.0,Ligue 1,Right Winger
James Maddison,26,Tottenham Hotspur,60.0,Premier League,Attacking Midfield
Brennan Johnson,22,Tottenham Hotspur,38.0,Premier League,Right Winger
Moussa Diaby,24,Aston Villa,50.0,Premier League,Right Winger
Rúben Neves,26,Al-Hilal SFC,40.0,Saudi Pro League,Defensive Midfield
Aleksandar Mitrovic,28,Al-Hilal SFC,28.0,Saudi Pro League,Centre-Forward
Matheus Cunha,24,Wolverhampton Wanderers,25.0,Premier League,Centre-Forward
Sergej Milinkovic-Savic,28,Al-Hilal SFC,50.0,Saudi Pro League,Central Midfield
Dejan Kulusevski,23,Tottenham Hotspur,50.0,Premier League,Right Winger
